epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.28883,1.64909,3.38611,1.40247,0.91182,0.02796,0.06373,0.03262,1.91817,3.42766,1.58644,0.000467346,0.000467346,0.000467346
2,15.7642,1.78287,3.1222,1.52654,0.43372,0.12451,0.05103,0.02176,2.06062,3.20597,1.77264,0.00090631,0.00090631,0.00090631
3,24.3219,1.86163,3.1015,1.60021,0.08716,0.08853,0.04945,0.01513,2.50657,5.60039,2.44925,0.00130755,0.00130755,0.00130755
4,30.4697,1.89521,3.17342,1.65994,0.20173,0.18615,0.12908,0.04776,2.21118,3.70977,2.08856,0.00125923,0.00125923,0.00125923
5,36.483,1.84976,3.00373,1.59545,0.60691,0.12907,0.12387,0.04861,2.14154,3.37729,1.79665,0.00120265,0.00120265,0.00120265
6,42.5246,1.78847,2.85017,1.56454,0.55519,0.19314,0.17102,0.06186,2.11697,3.68931,1.79856,0.00114606,0.00114606,0.00114606
7,48.5115,1.72886,2.76473,1.49425,0.88362,0.16331,0.22454,0.09911,1.86701,2.25677,1.5647,0.00108947,0.00108947,0.00108947
8,54.5462,1.67613,2.64225,1.46271,0.6797,0.24877,0.28193,0.14199,1.7236,2.17657,1.51329,0.00103288,0.00103288,0.00103288
9,60.5033,1.70259,2.58698,1.48014,0.29905,0.28894,0.2756,0.14296,1.79442,2.03547,1.57208,0.000976293,0.000976293,0.000976293
10,66.5781,1.62531,2.4763,1.4338,0.34509,0.41139,0.34973,0.1736,1.72356,1.87443,1.53361,0.000919704,0.000919704,0.000919704
11,72.5333,1.61031,2.38362,1.43007,0.35458,0.41003,0.35527,0.18925,1.6937,1.75207,1.4888,0.000863116,0.000863116,0.000863116
12,78.55,1.54768,2.20338,1.3597,0.40657,0.3721,0.35984,0.19883,1.64245,1.86907,1.43878,0.000806528,0.000806528,0.000806528
13,84.7216,1.47911,2.10365,1.33854,0.3848,0.44817,0.40421,0.22639,1.55293,1.70218,1.39163,0.000749939,0.000749939,0.000749939
14,91.1216,1.41253,1.98745,1.26984,0.602,0.44478,0.47681,0.25938,1.60306,1.73843,1.40352,0.000693351,0.000693351,0.000693351
15,97.5925,1.47318,1.87474,1.29868,0.57459,0.43127,0.46692,0.2461,1.65796,1.64278,1.40829,0.000636762,0.000636762,0.000636762
16,119.611,1.42373,1.76212,1.2902,0.63601,0.51962,0.54794,0.31402,1.4572,1.46726,1.3158,0.000580174,0.000580174,0.000580174
17,126.089,1.36863,1.64194,1.25579,0.63002,0.58131,0.58223,0.33048,1.48459,1.35876,1.31553,0.000523586,0.000523586,0.000523586
18,132.673,1.36171,1.53856,1.24229,0.72227,0.55042,0.58953,0.34592,1.41243,1.25673,1.28714,0.000466997,0.000466997,0.000466997
19,139.342,1.32683,1.43632,1.21883,0.77926,0.56016,0.62936,0.37861,1.37934,1.21148,1.27654,0.000410409,0.000410409,0.000410409
20,145.829,1.27674,1.3279,1.18573,0.72468,0.60134,0.63924,0.38964,1.37969,1.20663,1.30371,0.00035382,0.00035382,0.00035382
21,152.367,1.26618,1.25475,1.18839,0.7861,0.58832,0.65469,0.39367,1.37723,1.14763,1.27166,0.000297232,0.000297232,0.000297232
22,158.862,1.20758,1.16684,1.15258,0.73352,0.61158,0.65308,0.40459,1.33195,1.19054,1.25396,0.000240644,0.000240644,0.000240644
23,165.001,1.19892,1.12807,1.14279,0.80201,0.58045,0.6698,0.41847,1.30229,1.13754,1.24591,0.000184055,0.000184055,0.000184055
24,171.592,1.15077,1.04815,1.12876,0.76085,0.61852,0.67561,0.42178,1.32361,1.10231,1.26139,0.000127467,0.000127467,0.000127467
25,178.155,1.13403,1.0129,1.12411,0.77607,0.63867,0.67952,0.43356,1.30712,1.10195,1.23154,7.08784e-05,7.08784e-05,7.08784e-05
1,9.30465,1.64909,3.38611,1.40247,0.91182,0.02796,0.06373,0.03262,1.91817,3.42766,1.58644,0.000467346,0.000467346,0.000467346
2,16.1671,1.7905,3.14216,1.52301,0.48391,0.09362,0.0831,0.03444,2.13717,3.07045,1.73715,0.000924994,0.000924994,0.000924994
